"id", "closed_at", "created_at", "state", "url"
7982, 2018-04-08 22:22:14, 2018-04-08 17:14:43, closed, https://api.github.com/repos/vuejs/vue/issues/7982
8021, None, 2018-04-13 21:40:44, open, https://api.github.com/repos/vuejs/vue/issues/8021
8032, 2018-12-02 16:34:48, 2018-04-16 09:07:49, closed, https://api.github.com/repos/vuejs/vue/issues/8032
8076, 2018-10-24 17:24:32, 2018-04-24 12:43:04, closed, https://api.github.com/repos/vuejs/vue/issues/8076
8101, 2018-10-24 16:50:43, 2018-04-28 18:54:38, closed, https://api.github.com/repos/vuejs/vue/issues/8101
8103, 2018-10-24 17:25:15, 2018-04-29 12:14:49, closed, https://api.github.com/repos/vuejs/vue/issues/8103
8199, 2018-10-24 17:26:21, 2018-05-18 14:02:51, closed, https://api.github.com/repos/vuejs/vue/issues/8199
8286, 2018-10-24 17:24:25, 2018-06-01 09:01:26, closed, https://api.github.com/repos/vuejs/vue/issues/8286
8293, 2018-06-21 17:09:29, 2018-06-04 06:22:33, closed, https://api.github.com/repos/vuejs/vue/issues/8293
8346, 2018-12-19 19:00:39, 2018-06-13 08:37:18, closed, https://api.github.com/repos/vuejs/vue/issues/8346
8468, 2018-10-24 18:03:04, 2018-07-06 19:43:19, closed, https://api.github.com/repos/vuejs/vue/issues/8468
8545, 2018-12-02 17:32:04, 2018-07-24 12:19:41, closed, https://api.github.com/repos/vuejs/vue/issues/8545
8567, 2018-11-29 23:14:29, 2018-07-27 19:39:13, closed, https://api.github.com/repos/vuejs/vue/issues/8567
8740, 2018-11-30 22:36:29, 2018-08-31 15:32:40, closed, https://api.github.com/repos/vuejs/vue/issues/8740
8831, None, 2018-09-24 00:06:46, open, https://api.github.com/repos/vuejs/vue/issues/8831
8842, 2018-12-01 20:25:35, 2018-09-25 14:58:03, closed, https://api.github.com/repos/vuejs/vue/issues/8842
8895, None, 2018-10-04 08:07:44, open, https://api.github.com/repos/vuejs/vue/issues/8895
8950, 2018-11-30 23:02:54, 2018-10-15 08:58:34, closed, https://api.github.com/repos/vuejs/vue/issues/8950
8961, 2018-12-02 19:25:13, 2018-10-16 23:10:47, closed, https://api.github.com/repos/vuejs/vue/issues/8961
8973, 2018-11-06 07:55:02, 2018-10-20 12:05:20, closed, https://api.github.com/repos/vuejs/vue/issues/8973
8977, 2018-12-01 05:05:13, 2018-10-22 16:48:48, closed, https://api.github.com/repos/vuejs/vue/issues/8977
9198, 2019-01-10 21:11:19, 2018-12-13 14:03:03, closed, https://api.github.com/repos/vuejs/vue/issues/9198
9213, 2018-12-17 15:41:16, 2018-12-17 12:00:43, closed, https://api.github.com/repos/vuejs/vue/issues/9213
9231, 2019-01-11 16:11:25, 2018-12-20 04:56:49, closed, https://api.github.com/repos/vuejs/vue/issues/9231
9234, None, 2018-12-20 18:20:14, open, https://api.github.com/repos/vuejs/vue/issues/9234
9255, None, 2018-12-26 12:57:35, open, https://api.github.com/repos/vuejs/vue/issues/9255
