"id", "closed_at", "created_at", "state", "url"
6951, None, 2016-06-02 12:57:36, open, https://api.github.com/repos/facebook/react/issues/6951
7024, 2018-07-15 02:28:34, 2016-06-12 19:18:06, closed, https://api.github.com/repos/facebook/react/issues/7024
7027, 2016-06-16 15:30:07, 2016-06-13 11:10:25, closed, https://api.github.com/repos/facebook/react/issues/7027
7099, 2016-07-13 20:28:24, 2016-06-22 08:17:01, closed, https://api.github.com/repos/facebook/react/issues/7099
7113, 2016-10-27 15:09:02, 2016-06-24 11:21:52, closed, https://api.github.com/repos/facebook/react/issues/7113
7135, None, 2016-06-28 04:08:47, open, https://api.github.com/repos/facebook/react/issues/7135
7163, 2016-07-03 22:12:57, 2016-07-01 19:44:09, closed, https://api.github.com/repos/facebook/react/issues/7163
7187, 2016-08-20 23:29:39, 2016-07-05 10:37:50, closed, https://api.github.com/repos/facebook/react/issues/7187
7211, 2017-06-13 18:31:04, 2016-07-07 11:19:49, closed, https://api.github.com/repos/facebook/react/issues/7211
7240, 2016-08-19 19:02:21, 2016-07-10 10:25:38, closed, https://api.github.com/repos/facebook/react/issues/7240
7280, 2017-10-05 13:10:28, 2016-07-14 12:49:53, closed, https://api.github.com/repos/facebook/react/issues/7280
7281, None, 2016-07-14 15:54:47, open, https://api.github.com/repos/facebook/react/issues/7281
7290, 2017-10-04 05:59:13, 2016-07-15 21:29:21, closed, https://api.github.com/repos/facebook/react/issues/7290
7295, 2018-06-25 18:49:38, 2016-07-18 01:48:12, closed, https://api.github.com/repos/facebook/react/issues/7295
7328, None, 2016-07-21 12:26:25, open, https://api.github.com/repos/facebook/react/issues/7328
7350, 2016-08-22 19:42:33, 2016-07-25 15:22:56, closed, https://api.github.com/repos/facebook/react/issues/7350
7386, 2016-08-13 18:45:19, 2016-07-31 16:58:24, closed, https://api.github.com/repos/facebook/react/issues/7386
7440, 2017-10-04 12:14:55, 2016-08-08 07:29:28, closed, https://api.github.com/repos/facebook/react/issues/7440
7593, 2017-10-04 12:27:18, 2016-08-28 12:35:58, closed, https://api.github.com/repos/facebook/react/issues/7593
7630, 2017-11-19 15:44:35, 2016-09-01 14:18:26, closed, https://api.github.com/repos/facebook/react/issues/7630
7711, None, 2016-09-13 11:28:53, open, https://api.github.com/repos/facebook/react/issues/7711
7718, 2016-09-14 02:15:07, 2016-09-13 17:42:15, closed, https://api.github.com/repos/facebook/react/issues/7718
7769, None, 2016-09-19 20:56:27, open, https://api.github.com/repos/facebook/react/issues/7769
7827, 2017-10-04 13:40:08, 2016-09-28 22:57:44, closed, https://api.github.com/repos/facebook/react/issues/7827
7838, 2017-10-04 16:09:09, 2016-09-30 12:47:27, closed, https://api.github.com/repos/facebook/react/issues/7838
8423, None, 2016-11-26 00:52:03, open, https://api.github.com/repos/facebook/react/issues/8423
8487, 2017-04-13 15:38:16, 2016-12-02 22:08:16, closed, https://api.github.com/repos/facebook/react/issues/8487
8514, None, 2016-12-07 12:33:02, open, https://api.github.com/repos/facebook/react/issues/8514
8531, None, 2016-12-08 15:27:56, open, https://api.github.com/repos/facebook/react/issues/8531
8554, 2017-07-12 00:11:46, 2016-12-12 16:36:48, closed, https://api.github.com/repos/facebook/react/issues/8554
8559, 2017-08-09 14:21:08, 2016-12-12 21:31:17, closed, https://api.github.com/repos/facebook/react/issues/8559
8576, 2017-10-04 16:03:22, 2016-12-14 21:46:00, closed, https://api.github.com/repos/facebook/react/issues/8576
8642, 2017-12-21 05:15:54, 2016-12-25 22:25:11, closed, https://api.github.com/repos/facebook/react/issues/8642
8683, 2018-08-29 17:10:24, 2017-01-04 17:46:39, closed, https://api.github.com/repos/facebook/react/issues/8683
8699, 2017-01-23 16:28:27, 2017-01-06 02:27:08, closed, https://api.github.com/repos/facebook/react/issues/8699
8789, 2017-01-20 01:29:06, 2017-01-14 18:39:32, closed, https://api.github.com/repos/facebook/react/issues/8789
8876, 2018-01-06 13:12:00, 2017-01-27 18:44:50, closed, https://api.github.com/repos/facebook/react/issues/8876
8902, 2017-10-04 16:38:27, 2017-01-31 15:44:33, closed, https://api.github.com/repos/facebook/react/issues/8902
8912, 2017-03-30 22:08:35, 2017-02-02 09:38:15, closed, https://api.github.com/repos/facebook/react/issues/8912
